file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,cell,pulse_no,soc_pct,cell_id,rmse_V
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,4,CC_DChg,3998.551,3998.571,4003.564,4028.523,3.512341,3.495761,3.360101,3.287378,-74.9969886,-0.0002210755432918,-0.0018088726298538,-0.0009696789345485,-2760.2827958115518,-25739.44747146604,0.0199999999999818,4.992999999999938,24.959000000000287,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,10,Group0_150_0001_10_100,0.025544054434368958
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,9,CC_DChg,7684.274,7684.304,7687.352,7714.303,3.40191,3.355587,3.316375,3.261182,-74.9979684,-0.0006176567310855,-0.000522840829379,-0.0007359266014464,-5829.690086789324,-36621.85868404327,0.0299999999997453,3.0479999999997744,26.951000000000025,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,2,20,Group0_150_0001_10_100,0.011389821013018653
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,14,CC_DChg,11364.649,11364.686,11367.675,11394.632,3.360387,3.335266,3.283544,3.243554,-74.9978346,-0.000334956337526,-0.0006896465781426,-0.0005332153949948,-4334.104010273561,-50555.55457144853,0.0370000000002619,2.988999999999578,26.95700000000033,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,3,30,Group0_150_0001_10_100,0.010865965981664135
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,19,CC_DChg,15045.031,15045.057,15048.061,15075.029,3.338511,3.297107,3.264055,3.233559,-74.9978658,-0.00055206904301,-0.0004407058740596,-0.0004066249042516,-6816.337554856715,-66321.56495587835,0.0259999999998399,3.003999999998996,26.96800000000076,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,4,40,Group0_150_0001_10_100,0.007737562124481246
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,24,CC_DChg,18725.145,18725.164,18729.164,18755.136,3.330714,3.33069,3.255366,3.230489,-74.9979988,-3.2000853867852745e-07,-0.0010043467986508,-0.0003317021840321,-3982.688056927399,-78299.15282523786,0.0190000000002328,4.0,25.971999999997934,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,5,50,Group0_150_0001_10_100,0.01545773323716337
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,29,CC_DChg,22405.604,22405.635,22408.632,22435.584,3.328782,3.283364,3.256674,3.230729,-74.9979142,-0.0006055901751998,-0.0003558765638311,-0.0003459429542375,-8421.4593052688,-77908.79874805313,0.0309999999990395,2.997000000003027,26.951999999997497,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,6,60,Group0_150_0001_10_100,0.006515722698264629
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,34,CC_DChg,26086.389,26086.408,26089.409,26116.354,3.328142,3.320539,3.255521,3.229616,-74.9977676,-0.0001013763508342,-0.0008669324712006,-0.0003454102812521,-3461.630634095396,-78008.67971364564,0.0190000000002328,3.001000000000204,26.94499999999971,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,7,70,Group0_150_0001_10_100,0.01201404548600511
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,39,CC_DChg,29766.464,29766.513,29769.499,29796.469,3.327836,3.317828,3.254222,3.228134,-74.9976724,-0.0001334441413944,-0.0008481063206969,-0.0003478507954334,-3520.7849854802807,-77533.24228105177,0.0489999999990686,2.986000000000786,26.970000000001164,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,8,80,Group0_150_0001_10_100,0.011783741492351544
RD_LFP_HPPC_REPT_Group0_150_0001_10_100,1,44,CC_DChg,33462.289,33462.315,33465.317,33492.282,3.327422,3.29089,3.25448,3.228731,-74.99794599999998,-0.0004871066735614,-0.0004854799623445,-0.0003433294026479,-6183.571378523213,-78539.73412131416,0.0260000000052968,3.0020000000004075,26.964999999996508,RD_LFP_HPPC_REPT_Group0_150_0001_10_100,9,90,Group0_150_0001_10_100,0.007624855861579348
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,4,CC_DChg,4021.608,4021.631,4027.625,4051.599,3.498299,3.485215,3.355038,3.291701,-74.99704899999999,-0.0001744601977605,-0.0017357616297675,-0.0008445265626384,-3453.239141369135,-28387.502608680847,0.0229999999996834,5.994000000000142,23.97400000000016,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,10,Group0_150_0003_10_100,0.02484473392682678
