segment,mean,std,cell_id,pulse_no
early,0.0495897441806771,0.0004184873938557705,Group0_150_0001_10_100,1
mid,0.027197546484071706,0.009766198044274456,Group0_150_0001_10_100,1
late,0.018228136028155244,0.002115297696363898,Group0_150_0001_10_100,1
early,0.01262147830112045,0.002267566287603796,Group0_150_0001_10_100,2
mid,0.006666183235892649,0.0011564415848579752,Group0_150_0001_10_100,2
late,0.013751321229192311,0.0028783691397115804,Group0_150_0001_10_100,2
early,0.0211178915126118,0.00660713737456491,Group0_150_0001_10_100,3
mid,0.006571688792523466,0.0016905428018895577,Group0_150_0001_10_100,3
late,0.010447984918071506,0.0018488012216176023,Group0_150_0001_10_100,3
early,0.01434751324976875,0.0030119847238450847,Group0_150_0001_10_100,4
mid,0.0051869054346797335,0.0014256034201485025,Group0_150_0001_10_100,4
late,0.008151693757776012,0.0013363168695951907,Group0_150_0001_10_100,4
early,0.04477748609615935,0.00760402752355254,Group0_150_0001_10_100,5
mid,0.01261159839666714,0.008205269530056297,Group0_150_0001_10_100,5
late,0.00651668695363875,0.0008415868061798587,Group0_150_0001_10_100,5
early,0.01125469342700855,0.002324746422400769,Group0_150_0001_10_100,6
mid,0.004480850354843323,0.0010006016440083558,Group0_150_0001_10_100,6
late,0.0071682468695536995,0.0009844529381970448,Group0_150_0001_10_100,6
early,0.034837984427071804,0.007833883824770039,Group0_150_0001_10_100,7
mid,0.008517003596414116,0.005203457926765941,Group0_150_0001_10_100,7
late,0.007079817635944537,0.0010141300985729836,Group0_150_0001_10_100,7
early,0.029534862590182603,0.009375444787840215,Group0_150_0001_10_100,8
mid,0.007209491807507537,0.003344702165647635,Group0_150_0001_10_100,8
late,0.007125896132009144,0.0010250874970621844,Group0_150_0001_10_100,8
early,0.01722614410511885,0.0036969525606090786,Group0_150_0001_10_100,9
mid,0.005418268797759662,0.0019365591580098756,Group0_150_0001_10_100,9
late,0.007095833536923454,0.000972055125640996,Group0_150_0001_10_100,9
early,0.0494354953824898,0.00037321351137782063,Group0_150_0003_10_100,1
mid,0.026614939321998786,0.010686010642760419,Group0_150_0003_10_100,1
late,0.015545891995689986,0.0017562752367478117,Group0_150_0003_10_100,1
early,0.027442224277191847,0.005559484238784354,Group0_150_0003_10_100,2
mid,0.009059210270480234,0.003188446842893751,Group0_150_0003_10_100,2
late,0.01337099617418363,0.002679893561574265,Group0_150_0003_10_100,2
early,0.014973327776747966,0.004510189444864037,Group0_150_0003_10_100,3
mid,0.005890541482256442,0.0010116497637664011,Group0_150_0003_10_100,3
late,0.01007714307535348,0.0017129237055917535,Group0_150_0003_10_100,3
early,0.009684824983628701,0.001917476790307008,Group0_150_0003_10_100,4
mid,0.004583524222303146,0.0008633547002720658,Group0_150_0003_10_100,4
late,0.008093107733244414,0.0011205894439759688,Group0_150_0003_10_100,4
early,0.020741223343712766,0.006403494863672631,Group0_150_0003_10_100,5
mid,0.0058405679336622,0.002106016434964121,Group0_150_0003_10_100,5
late,0.007240346663434075,0.0010442652351778864,Group0_150_0003_10_100,5
