flat_window,flat_threshold,rmse
3,0.0001,0.015434142976498678
3,0.0005,0.012628572078043823
3,0.001,0.011807497378047527
3,0.005,0.01041259512258746
5,0.0001,0.015297083564012473
5,0.0005,0.012455577764349674
5,0.001,0.011850098035052147
5,0.005,0.01041259512258746
7,0.0001,0.013741749439743479
7,0.0005,0.012269502999698452
7,0.001,0.011854006006624014
7,0.005,0.01041259512258746
9,0.0001,0.012682765024346503
9,0.0005,0.011904653757991915
9,0.001,0.011854006006624014
9,0.005,0.01041259512258746
