time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
4071.67,0.0,3.41538,3.4153800000000007,8.881784197001252e-16,0.019282497349396462,-74.995044,1,4,1
4072.67,1.0,3.367173,3.391554321833797,0.024381321833796932,0.019282497349396462,-74.997176,1,4,1
4073.67,2.0,3.35169,3.373774577662455,0.022084577662454752,0.019282497349396462,-74.997689,1,4,1
4074.671,3.000999999999749,3.341393,3.3603414456522067,0.018948445652206658,0.019282497349396462,-74.998047,1,4,1
4075.653,3.98299999999972,3.333208,3.350233166194771,0.017025166194771124,0.019282497349396462,-74.998271,1,4,1
4076.653,4.98299999999972,3.326672,3.3422064489200176,0.015534448920017763,0.019282497349396462,-74.99839,1,4,1
4077.654,5.983999999999924,3.321226,3.3358396836709705,0.014613683670970712,0.019282497349396462,-74.998559,1,4,1
4078.652,6.981999999999971,3.316527,3.3307047445363303,0.014177744536330472,0.019282497349396462,-75.000809,1,4,1
4079.652,7.981999999999971,3.312389,3.3264513168198686,0.014062316819868581,0.019282497349396462,-74.99864,1,4,1
4080.654,8.983999999999924,3.308655,3.3228516913794905,0.014196691379490645,0.019282497349396462,-74.998681,1,4,1
4081.653,9.98299999999972,3.305239,3.319755584365756,0.014516584365756202,0.019282497349396462,-74.998715,1,4,1
4082.654,10.983999999999924,3.302089,3.3170259789817336,0.014936978981733517,0.019282497349396462,-74.998719,1,4,1
4083.655,11.985000000000127,3.299158,3.314582159604326,0.015424159604326082,0.019282497349396462,-74.998786,1,4,1
4084.654,12.983999999999924,3.296388,3.312365119395914,0.015977119395913952,0.019282497349396462,-74.998828,1,4,1
4085.656,13.985999999999876,3.293776,3.310318113918801,0.016542113918801338,0.019282497349396462,-74.998748,1,4,1
4086.654,14.983999999999924,3.291294,3.3084217883462723,0.017127788346272155,0.019282497349396462,-74.998789,1,4,1
4087.633,15.962999999999738,3.288911,3.3066760918456533,0.017765091845653114,0.019282497349396462,-74.998795,1,4,1
4088.632,16.96199999999999,3.286661,3.30499376995568,0.018332769955680117,0.019282497349396462,-74.995377,1,4,1
4089.635,17.965000000000146,3.284449,3.303391726846401,0.01894272684640086,0.019282497349396462,-74.998788,1,4,1
4090.634,18.963999999999942,3.282335,3.3018723968662,0.01953739686620004,0.019282497349396462,-74.998816,1,4,1
4091.634,19.963999999999942,3.280299,3.30041990359258,0.02012090359258023,0.019282497349396462,-74.998867,1,4,1
4092.633,20.962999999999738,3.278328,3.299030986297073,0.0207029862970729,0.019282497349396462,-74.998876,1,4,1
4093.627,21.95699999999988,3.276412,3.2977057946901267,0.0212937946901266,0.019282497349396462,-74.999008,1,4,1
4094.628,22.958000000000084,3.274567,3.2964245324793504,0.021857532479350628,0.019282497349396462,-74.998849,1,4,1
4095.627,23.95699999999988,3.272751,3.2951958265360917,0.0224448265360917,0.019282497349396462,-74.998866,1,4,1
