Cycle No,Step No,Step name,Absolute time,soc
1,1,Rest,2025-10-29 09:39:37.022,0.0
1,1,Rest,2025-10-29 09:39:38.023,0.0
1,1,Rest,2025-10-29 09:39:39.024,0.0
1,1,Rest,2025-10-29 09:39:40.024,0.0
1,1,Rest,2025-10-29 09:39:41.022,0.0
1,1,Rest,2025-10-29 09:39:42.006,0.0
1,1,Rest,2025-10-29 09:39:43.005,0.0
1,1,Rest,2025-10-29 09:39:44.006,0.0
1,1,Rest,2025-10-29 09:39:45.007,0.0
1,1,Rest,2025-10-29 09:39:46.007,0.0
1,1,Rest,2025-10-29 09:39:47.007,0.0
1,1,Rest,2025-10-29 09:39:48.008,0.0
1,1,Rest,2025-10-29 09:39:49.006,0.0
1,1,Rest,2025-10-29 09:39:50.006,0.0
1,1,Rest,2025-10-29 09:39:51.009,0.0
1,1,Rest,2025-10-29 09:39:52.009,0.0
1,1,Rest,2025-10-29 09:39:53.006,0.0
1,1,Rest,2025-10-29 09:39:54.005,0.0
1,1,Rest,2025-10-29 09:39:55.005,0.0
1,1,Rest,2025-10-29 09:39:56.007,0.0
1,1,Rest,2025-10-29 09:39:57.005,0.0
1,1,Rest,2025-10-29 09:39:58.005,0.0
1,1,Rest,2025-10-29 09:39:59.006,0.0
1,1,Rest,2025-10-29 09:40:00.005,0.0
1,1,Rest,2025-10-29 09:40:00.979,0.0
1,1,Rest,2025-10-29 09:40:01.979,0.0
1,1,Rest,2025-10-29 09:40:02.977,0.0
1,1,Rest,2025-10-29 09:40:03.979,0.0
1,1,Rest,2025-10-29 09:40:04.980,0.0
1,1,Rest,2025-10-29 09:40:05.980,0.0
1,1,Rest,2025-10-29 09:40:06.994,0.0
1,2,CCCV_Chg,2025-10-29 09:40:07.020,0.0
1,2,CCCV_Chg,2025-10-29 09:40:08.020,0.008666666666666666
1,2,CCCV_Chg,2025-10-29 09:40:09.021,0.018000000000000002
1,2,CCCV_Chg,2025-10-29 09:40:10.023,0.027333333333333334
1,2,CCCV_Chg,2025-10-29 09:40:11.022,0.03666666666666667
1,2,CCCV_Chg,2025-10-29 09:40:12.011,0.046
1,2,CCCV_Chg,2025-10-29 09:40:13.011,0.05533333333333334
1,2,CCCV_Chg,2025-10-29 09:40:14.013,0.064
1,2,CCCV_Chg,2025-10-29 09:40:15.011,0.07333333333333333
1,2,CCCV_Chg,2025-10-29 09:40:16.011,0.08266666666666667
1,2,CCCV_Chg,2025-10-29 09:40:17.011,0.092
1,2,CCCV_Chg,2025-10-29 09:40:18.013,0.10133333333333333
1,2,CCCV_Chg,2025-10-29 09:40:18.955,0.11066666666666668
1,2,CCCV_Chg,2025-10-29 09:40:19.955,0.12
1,2,CCCV_Chg,2025-10-29 09:40:20.956,0.12933333333333333
1,2,CCCV_Chg,2025-10-29 09:40:21.955,0.13866666666666666
1,2,CCCV_Chg,2025-10-29 09:40:22.957,0.14733333333333334
1,2,CCCV_Chg,2025-10-29 09:40:23.958,0.15666666666666665
1,2,CCCV_Chg,2025-10-29 09:40:24.998,0.166
1,2,CCCV_Chg,2025-10-29 09:40:25.995,0.17533333333333334
1,2,CCCV_Chg,2025-10-29 09:40:26.996,0.18466666666666667
1,2,CCCV_Chg,2025-10-29 09:40:27.998,0.19399999999999998
1,2,CCCV_Chg,2025-10-29 09:40:28.996,0.2033333333333333
1,2,CCCV_Chg,2025-10-29 09:40:29.997,0.2126666666666667
1,2,CCCV_Chg,2025-10-29 09:40:30.981,0.22200000000000003
1,2,CCCV_Chg,2025-10-29 09:40:31.983,0.23066666666666666
1,2,CCCV_Chg,2025-10-29 09:40:32.983,0.24
1,2,CCCV_Chg,2025-10-29 09:40:33.983,0.24933333333333335
1,2,CCCV_Chg,2025-10-29 09:40:34.982,0.25866666666666666
1,2,CCCV_Chg,2025-10-29 09:40:35.981,0.268
1,2,CCCV_Chg,2025-10-29 09:40:36.955,0.2773333333333333
1,2,CCCV_Chg,2025-10-29 09:40:37.958,0.2866666666666667
1,2,CCCV_Chg,2025-10-29 09:40:38.957,0.296
1,2,CCCV_Chg,2025-10-29 09:40:39.955,0.30533333333333335
1,2,CCCV_Chg,2025-10-29 09:40:40.957,0.314
1,2,CCCV_Chg,2025-10-29 09:40:41.957,0.3233333333333333
1,2,CCCV_Chg,2025-10-29 09:40:42.945,0.33266666666666667
1,2,CCCV_Chg,2025-10-29 09:40:43.945,0.34199999999999997
1,2,CCCV_Chg,2025-10-29 09:40:44.947,0.3513333333333334
1,2,CCCV_Chg,2025-10-29 09:40:45.945,0.3606666666666667
1,2,CCCV_Chg,2025-10-29 09:40:46.947,0.37
1,2,CCCV_Chg,2025-10-29 09:40:47.945,0.3793333333333333
1,2,CCCV_Chg,2025-10-29 09:40:48.963,0.3886666666666666
1,2,CCCV_Chg,2025-10-29 09:40:49.965,0.3973333333333333
1,2,CCCV_Chg,2025-10-29 09:40:50.962,0.4066666666666666
1,2,CCCV_Chg,2025-10-29 09:40:51.962,0.416
1,2,CCCV_Chg,2025-10-29 09:40:52.962,0.4253333333333334
1,2,CCCV_Chg,2025-10-29 09:40:53.965,0.4346666666666667
1,2,CCCV_Chg,2025-10-29 09:40:54.952,0.44400000000000006
1,2,CCCV_Chg,2025-10-29 09:40:55.954,0.45333333333333337
1,2,CCCV_Chg,2025-10-29 09:40:56.953,0.4626666666666666
1,2,CCCV_Chg,2025-10-29 09:40:57.953,0.4719999999999999
1,2,CCCV_Chg,2025-10-29 09:40:58.953,0.48066666666666663
1,2,CCCV_Chg,2025-10-29 09:40:59.953,0.49
1,2,CCCV_Chg,2025-10-29 09:41:00.958,0.4993333333333333
1,2,CCCV_Chg,2025-10-29 09:41:01.955,0.5086666666666666
1,2,CCCV_Chg,2025-10-29 09:41:02.958,0.518
1,2,CCCV_Chg,2025-10-29 09:41:03.956,0.5273333333333334
1,2,CCCV_Chg,2025-10-29 09:41:04.957,0.5366666666666667
1,2,CCCV_Chg,2025-10-29 09:41:05.957,0.5459999999999999
1,2,CCCV_Chg,2025-10-29 09:41:06.953,0.5553333333333332
1,2,CCCV_Chg,2025-10-29 09:41:07.952,0.5640000000000001
1,2,CCCV_Chg,2025-10-29 09:41:08.951,0.5733333333333334
1,2,CCCV_Chg,2025-10-29 09:41:09.953,0.5826666666666667
1,2,CCCV_Chg,2025-10-29 09:41:10.951,0.592
1,2,CCCV_Chg,2025-10-29 09:41:11.950,0.6013333333333333
1,2,CCCV_Chg,2025-10-29 09:41:12.927,0.6106666666666667
1,2,CCCV_Chg,2025-10-29 09:41:13.929,0.6200000000000001
1,2,CCCV_Chg,2025-10-29 09:41:14.927,0.6293333333333333
1,2,CCCV_Chg,2025-10-29 09:41:15.929,0.6386666666666666
1,2,CCCV_Chg,2025-10-29 09:41:16.928,0.6473333333333333
1,2,CCCV_Chg,2025-10-29 09:41:17.928,0.6566666666666667
1,2,CCCV_Chg,2025-10-29 09:41:18.346,0.666
1,2,CCCV_Chg,2025-10-29 09:41:19.346,0.6753333333333332
1,2,CCCV_Chg,2025-10-29 09:41:20.346,0.6846666666666665
1,2,CCCV_Chg,2025-10-29 09:41:21.346,0.694
1,2,CCCV_Chg,2025-10-29 09:41:22.345,0.7033333333333334
1,2,CCCV_Chg,2025-10-29 09:41:23.347,0.7126666666666667
1,2,CCCV_Chg,2025-10-29 09:41:24.365,0.722
1,2,CCCV_Chg,2025-10-29 09:41:25.366,0.7306666666666667
1,2,CCCV_Chg,2025-10-29 09:41:26.366,0.74
1,2,CCCV_Chg,2025-10-29 09:41:27.366,0.7493333333333334
1,2,CCCV_Chg,2025-10-29 09:41:28.366,0.7586666666666666
1,2,CCCV_Chg,2025-10-29 09:41:29.367,0.7679999999999999
1,2,CCCV_Chg,2025-10-29 09:41:30.333,0.7773333333333332
1,2,CCCV_Chg,2025-10-29 09:41:31.332,0.7866666666666666
1,2,CCCV_Chg,2025-10-29 09:41:32.333,0.796
1,2,CCCV_Chg,2025-10-29 09:41:33.332,0.8053333333333332
1,2,CCCV_Chg,2025-10-29 09:41:34.332,0.8140000000000002
1,2,CCCV_Chg,2025-10-29 09:41:35.333,0.8233333333333334
1,2,CCCV_Chg,2025-10-29 09:41:36.340,0.8326666666666668
1,2,CCCV_Chg,2025-10-29 09:41:37.340,0.8419999999999999
1,2,CCCV_Chg,2025-10-29 09:41:38.341,0.8513333333333333
1,2,CCCV_Chg,2025-10-29 09:41:39.340,0.8606666666666667
1,2,CCCV_Chg,2025-10-29 09:41:40.341,0.8699999999999999
1,2,CCCV_Chg,2025-10-29 09:41:41.339,0.8793333333333333
1,2,CCCV_Chg,2025-10-29 09:41:42.358,0.8886666666666666
1,2,CCCV_Chg,2025-10-29 09:41:43.360,0.8973333333333333
1,2,CCCV_Chg,2025-10-29 09:41:44.360,0.9066666666666667
1,2,CCCV_Chg,2025-10-29 09:41:45.360,0.9160000000000001
1,2,CCCV_Chg,2025-10-29 09:41:46.358,0.9253333333333332
1,2,CCCV_Chg,2025-10-29 09:41:47.359,0.9346666666666666
1,2,CCCV_Chg,2025-10-29 09:41:48.359,0.9439999999999998
1,2,CCCV_Chg,2025-10-29 09:41:49.680,0.9533333333333333
1,2,CCCV_Chg,2025-10-29 09:41:50.680,0.9626666666666667
1,2,CCCV_Chg,2025-10-29 09:41:51.682,0.972
1,2,CCCV_Chg,2025-10-29 09:41:52.681,0.9806666666666667
1,2,CCCV_Chg,2025-10-29 09:41:53.682,0.9900000000000001
1,2,CCCV_Chg,2025-10-29 09:41:54.680,0.9993333333333333
1,2,CCCV_Chg,2025-10-29 09:41:55.668,1.0086666666666666
1,2,CCCV_Chg,2025-10-29 09:41:56.666,1.018
1,2,CCCV_Chg,2025-10-29 09:41:57.668,1.0273333333333332
1,2,CCCV_Chg,2025-10-29 09:41:58.667,1.0366666666666666
1,2,CCCV_Chg,2025-10-29 09:41:59.668,1.0459999999999998
1,2,CCCV_Chg,2025-10-29 09:42:00.666,1.0553333333333332
1,2,CCCV_Chg,2025-10-29 09:42:01.641,1.064
1,2,CCCV_Chg,2025-10-29 09:42:02.641,1.0733333333333335
1,2,CCCV_Chg,2025-10-29 09:42:03.640,1.0826666666666667
1,2,CCCV_Chg,2025-10-29 09:42:04.641,1.0919999999999999
1,2,CCCV_Chg,2025-10-29 09:42:05.641,1.1013333333333333
1,2,CCCV_Chg,2025-10-29 09:42:06.641,1.1106666666666665
1,2,CCCV_Chg,2025-10-29 09:42:07.651,1.1199999999999999
1,2,CCCV_Chg,2025-10-29 09:42:08.652,1.1293333333333333
1,2,CCCV_Chg,2025-10-29 09:42:09.650,1.1386666666666667
1,2,CCCV_Chg,2025-10-29 09:42:10.649,1.1473333333333333
1,2,CCCV_Chg,2025-10-29 09:42:11.650,1.1566666666666667
1,2,CCCV_Chg,2025-10-29 09:42:12.650,1.166
1,2,CCCV_Chg,2025-10-29 09:42:13.641,1.1753333333333333
1,2,CCCV_Chg,2025-10-29 09:42:14.642,1.1846666666666668
1,2,CCCV_Chg,2025-10-29 09:42:15.642,1.194
1,2,CCCV_Chg,2025-10-29 09:42:16.639,1.2033333333333334
1,2,CCCV_Chg,2025-10-29 09:42:17.640,1.2126666666666666
1,2,CCCV_Chg,2025-10-29 09:42:18.639,1.222
1,2,CCCV_Chg,2025-10-29 09:42:19.632,1.2306666666666668
1,2,CCCV_Chg,2025-10-29 09:42:20.635,1.2400000000000002
1,2,CCCV_Chg,2025-10-29 09:42:21.633,1.2493333333333334
1,2,CCCV_Chg,2025-10-29 09:42:22.635,1.2586666666666666
1,2,CCCV_Chg,2025-10-29 09:42:23.634,1.2679999999999998
